,Unnamed: 0,az_start,data_type,fch1,foff,ibeam,machine_id,nbeams,nbits,nchans,nifs,rawdatafile,source_name,src_dej,src_raj,telescope_id,tsamp,tstart,za_start,fname
35,35,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C286,31d29m54.24s,13h31m01.872s,6,0.0003495253333333333,58733.95710648147,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58733_82694_3C286_0129.gpuspec.0001.fil
36,36,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,53d12m14.4s,14h11m22.008s,6,18.253611008,58702.188784722224,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58702_16311_3C295_0015.gpuspec.0000.fil
37,37,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C286,31d29m54.24s,13h31m01.872s,6,1.0737418239999998,58733.95710648147,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58733_82694_3C286_0129.gpuspec.0002.fil
38,38,0.0,1,8438.96484375,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C147,50d51m06.48s,5h42m36s,6,18.253611007999986,58921.72454861111,0.0,spliced_blc10111213141516o7o0212223242526o7o0313233343536o7o041424344454647_guppi_58921_62601_3C147_0124.rawspec.0000.fil
39,39,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,53d10m19.92s,14h11m09.264s,6,0.0003495253333333333,58642.0240162037,0.0,spliced_blc30313233343536o7o0414243444546o7o0515253545556o7o061626364656667_guppi_58642_02075_3C295_0008.gpuspec.0001.fil
40,40,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,53d10m19.92s,14h11m09.264s,6,1.0737418239999998,58642.0240162037,0.0,spliced_blc30313233343536o7o0414243444546o7o0515253545556o7o061626364656667_guppi_58642_02075_3C295_0008.gpuspec.0002.fil
41,41,0.0,1,11251.28173828125,-0.3662109375,,20,,32,10240,1,,3C286,30d31m50.16s,13h31m18.192s,6,0.0003495253333333333,58623.22162037037,0.0,spliced_blc00010203040506o7o0111213141516o7o021222324252627_guppi_58623_19148_3C286_0053.gpuspec.0001.fil
42,42,0.0,1,11251.463413238524,-0.00286102294921875,,20,,32,1310720,1,,3C147,50d50m59.64s,5h42m42.912s,6,1.0737418239999998,58806.078611111116,0.0,spliced_blc00010203040506o7o0111213141516o7o021222324252627_guppi_58806_06792_3C147_0008.gpuspec.0002.fil
43,43,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,52d14m03.12s,14h11m15.768s,6,0.0003495253333333333,58667.349976851845,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58667_30238_3C295_0042.gpuspec.0001.fil
44,44,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,50d50m59.64s,5h42m42.912s,6,0.0003495253333333333,58806.078611111116,0.0,spliced_blc00010203040506o7o0111213141516o7o021222324252627_guppi_58806_06792_3C147_0008.gpuspec.8.0001.fil
45,45,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,52d14m03.12s,14h11m15.768s,6,1.0737418239999998,58667.349976851845,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58667_30238_3C295_0042.gpuspec.0002.fil
46,46,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C286,30d30m48.96s,13h31m10.944s,6,0.0003495253333333333,58734.93146990741,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58734_80479_3C286_0136.gpuspec.0001.fil
47,47,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C286,30d30m48.96s,13h31m10.944s,6,1.0737418239999998,58734.93146990741,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58734_80479_3C286_0136.gpuspec.0002.fil
48,48,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,53d12m14.4s,14h11m22.008s,6,0.0003495253333333333,58702.188784722224,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58702_16311_3C295_0015.gpuspec.0001.fil
49,49,0.0,1,8438.96484375,-0.3662109375,,20,,32,13312,1,,3C147,50d51m06.48s,5h42m36s,6,0.000349525333333333,58921.72454861111,0.0,spliced_blc10111213141516o7o0212223242526o7o0313233343536o7o041424344454647_guppi_58921_62601_3C147_0124.rawspec.0001.fil
