,Unnamed: 0,Unnamed: 0.1,az_start,data_type,fch1,foff,ibeam,machine_id,nbeams,nbits,nchans,nifs,rawdatafile,source_name,src_dej,src_raj,telescope_id,tsamp,tstart,za_start,fname
200,200,200,0.0,1,3151.463413238525,-0.00286102294921875,,20,,32,524288,1,,PSR_B2021+51,51d54m48.96s,20h22m49.704s,6,1.0737418239999998,58743.91260416668,0.0,spliced_blc4041424344454647_guppi_58743_78849_PSR_B2021+51_0009.gpuspec.0002.fil
28,28,28,0.0,1,3151.4648423530157,-2.7939677238464355e-06,,20,,32,536870912,1,,PSR_B2021+51,51d54m48.96s,20h22m49.704s,6,18.253611008,58743.91260416668,0.0,spliced_blc4041424344454647_guppi_58743_78849_PSR_B2021+51_0009.gpuspec.0000.fil
436,436,436,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B2021+51,51d54m57.24s,20h23m03.624s,6,0.0003495253333333333,58737.94384259259,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58737_81548_PSR_B2021+51_0023.gpuspec.8.0001.fil
211,211,211,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B2021+51,51d54m57.24s,20h23m03.624s,6,18.253611008,58737.94384259259,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58737_81548_PSR_B2021+51_0023.gpuspec.0000.fil
17,17,17,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,PSR_B2021+51,51d54m57.24s,20h23m03.624s,6,0.0003495253333333333,58737.94384259259,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58737_81548_PSR_B2021+51_0023.gpuspec.0001.fil
430,430,430,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,PSR_B2021+51,51d54m57.24s,20h23m03.624s,6,1.0737418239999998,58737.94384259259,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58737_81548_PSR_B2021+51_0023.gpuspec.0002.fil
179,179,179,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,PSR_B2021+51,51d54m53.28s,20h22m54.744s,6,1.0737418239999998,58734.9462037037,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58734_81752_PSR_B2021+51_0145.gpuspec.0002.fil
178,178,178,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,PSR_B2021+51,51d54m53.28s,20h22m54.744s,6,0.0003495253333333333,58734.9462037037,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58734_81752_PSR_B2021+51_0145.gpuspec.0001.fil
154,154,154,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B2021+51,51d54m53.28s,20h22m54.744s,6,18.253611008,58734.9462037037,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58734_81752_PSR_B2021+51_0145.gpuspec.0000.fil
191,191,191,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B2021+51,51d54m53.28s,20h22m54.744s,6,0.0003495253333333333,58734.9462037037,0.0,spliced_blc00010203040506o7o0111213141516o7o0212223242526o7o031323334353637_guppi_58734_81752_PSR_B2021+51_0145.gpuspec.8.0001.fil
146,146,146,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,PSR_B2021+51,51d54m56.52s,20h23m00.576s,6,1.0737418239999998,58733.96974537037,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58733_83786_PSR_B2021+51_0137.gpuspec.0002.fil
118,118,118,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B2021+51,51d54m56.52s,20h23m00.576s,6,18.253611008,58733.96974537037,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58733_83786_PSR_B2021+51_0137.gpuspec.0000.fil
