,az_start,data_type,fch1,foff,ibeam,machine_id,nbeams,nbits,nchans,nifs,rawdatafile,source_name,src_dej,src_raj,telescope_id,tsamp,tstart,za_start
65,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C286,31d30m32.4s,13h31m08.208s,6,1.0737418239999998,58733.95861111111,0.0
66,0.0,1,8438.96484375,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C147,50d49m19.92s,5h42m48.984s,6,18.253611007999982,58921.72305555556,0.0
67,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,52d12m28.08s,14h11m23.664s,6,18.253611008,58702.20313657408,0.0
68,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,18.253611008,58570.73842592593,0.0
69,0.0,1,3151.464842353016,-2.7939677238464355e-06,,20,,32,536870912,1,,3C295,53d09m56.88s,14h11m08.544s,6,18.253611008,58616.45045138889,0.0
70,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,53d10m16.68s,14h11m18.216s,6,0.0003495253333333333,58667.3515625,0.0
71,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,53d10m16.68s,14h11m18.216s,6,1.0737418239999998,58667.3515625,0.0
72,0.0,1,3151.28173828125,-0.3662109375,,20,,32,4096,1,,3C295,53d09m56.88s,14h11m08.544s,6,0.0003495253333333333,58616.45045138889,0.0
73,0.0,1,3151.4634132385254,-0.00286102294921875,,20,,32,524288,1,,3C295,53d09m56.88s,14h11m08.544s,6,1.0737418239999998,58616.45045138889,0.0
74,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C286,31d30m25.2s,13h31m08.664s,6,0.0003495253333333333,58734.93311342593,0.0
75,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C286,31d30m25.2s,13h31m08.664s,6,1.0737418239999998,58734.93311342593,0.0
76,0.0,1,8438.96484375,-0.3662109375,,20,,32,13312,1,,3C147,50d49m19.92s,5h42m48.984s,6,0.000349525333333333,58921.72305555556,0.0
77,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,52d12m28.08s,14h11m23.664s,6,0.0003495253333333333,58702.20313657408,0.0
78,0.0,1,8438.96484375,-0.00286102294921875,,20,,32,1703936,1,,3C147,50d49m19.92s,5h42m48.984s,6,1.073741823999999,58921.72305555556,0.0
79,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,52d12m28.08s,14h11m23.664s,6,1.0737418239999998,58702.20313657408,0.0
80,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,49d50m58.56s,5h42m37.512s,6,18.253611008,58779.15074074074,0.0
81,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C147,49d50m58.56s,5h42m37.512s,6,1.0737418239999998,58779.15074074074,0.0
82,0.0,1,11251.28173828125,-0.3662109375,,20,,32,10240,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,0.0003495253333333333,58570.73842592593,0.0
83,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,1.0737418239999998,58570.73842592593,0.0
84,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,18.253611008,58692.77783564815,0.0
85,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,49d50m58.56s,5h42m37.512s,6,0.0003495253333333333,58779.15074074074,0.0
86,0.0,1,3151.464842353016,-2.7939677238464355e-06,,20,,32,536870912,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,18.253611008,58616.45375,0.0
87,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,0.0003495253333333333,58570.73842592593,0.0
88,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B1133+16,15d51m07.2s,11h36m02.208s,6,18.253611008,58642.03603009259,0.0
89,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C286,31d30m33.12s,13h31m08.256s,6,18.253611008,58734.93461805556,0.0
90,0.0,1,3151.28173828125,-0.3662109375,,20,,32,4096,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,0.0003495253333333333,58616.45375,0.0
91,0.0,1,8438.96484375,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,52d13m52.32s,14h11m22.104s,6,18.253611007999982,58921.334016203706,0.0
92,0.0,1,3151.4634132385254,-0.00286102294921875,,20,,32,524288,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,1.0737418239999998,58616.45375,0.0
93,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,53d11m19.68s,14h11m11.232s,6,18.253611008,58702.204733796294,0.0
94,0.0,1,3151.28173828125,-0.3662109375,0.0,10,0.0,8,4096,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,0.0003495253333333333,58616.45375,0.0
95,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,PSR_B0355+54,54d13m10.2s,3h58m53.664s,6,18.253611008,58806.08243055556,0.0
96,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,49d51m06.48s,5h42m36.072s,6,18.253611008,58779.15831018519,0.0
97,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C286,31d30m33.12s,13h31m08.256s,6,0.0003495253333333333,58734.93461805556,0.0
98,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C147,49d51m06.48s,5h42m36.072s,6,1.0737418239999998,58779.15831018519,0.0
99,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C286,31d30m33.12s,13h31m08.256s,6,1.0737418239999998,58734.93461805556,0.0
100,0.0,1,3151.464842353016,-2.7939677238464355e-06,,20,,32,536870912,1,,3C48,33d09m21.6s,1h37m36.984s,6,18.253611008,58703.47752314815,0.0
101,0.0,1,8438.96484375,-0.3662109375,,20,,32,13312,1,,3C295,52d13m52.32s,14h11m22.104s,6,0.000349525333333333,58921.334016203706,0.0
102,0.0,1,8438.96484375,-0.00286102294921875,,20,,32,1703936,1,,3C295,52d13m52.32s,14h11m22.104s,6,1.073741823999999,58921.334016203706,0.0
103,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,53d11m19.68s,14h11m11.232s,6,0.0003495253333333333,58702.204733796294,0.0
104,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,49d51m07.2s,5h42m36.048s,6,18.253611008,58595.17391203704,0.0
105,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,53d11m19.68s,14h11m11.232s,6,1.0737418239999998,58702.204733796294,0.0
106,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C147,49d51m07.2s,5h42m36.048s,6,1.0737418239999998,58595.17391203704,0.0
107,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,49d51m07.2s,5h42m36.048s,6,0.0003495253333333333,58595.17391203704,0.0
108,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,0.0003495253333333333,58692.77783564815,0.0
109,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,1.0737418239999998,58692.77783564815,0.0
110,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C286,30d30m41.76s,13h31m08.784s,6,18.253611008,58616.018530092595,0.0
111,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,PSR_B1133+16,15d51m07.2s,11h36m02.208s,6,0.0003495253333333333,58642.03603009259,0.0
112,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,0.0003495253333333333,58692.77783564815,0.0
113,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,PSR_B1133+16,15d51m07.2s,11h36m02.208s,6,1.0737418239999998,58642.03603009259,0.0
114,0.0,1,11251.28173828125,-0.3662109375,,20,,32,10240,1,,PSR_B0355+54,54d13m10.2s,3h58m53.664s,6,0.0003495253333333333,58806.08243055556,0.0
115,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,PSR_B0355+54,54d13m10.2s,3h58m53.664s,6,1.0737418239999998,58806.08243055556,0.0
116,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,50d50m36.6s,5h42m44.04s,6,18.253611008,58779.15998842593,0.0
117,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C147,50d50m36.6s,5h42m44.04s,6,1.0737418239999998,58779.15998842593,0.0
118,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B2021+51,51d54m56.52s,20h23m00.576s,6,18.253611008,58733.96974537037,0.0
119,0.0,1,11251.28173828125,-0.3662109375,,20,,32,10240,1,,3C286,30d30m41.76s,13h31m08.784s,6,0.0003495253333333333,58616.018530092595,0.0
120,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C286,30d30m41.76s,13h31m08.784s,6,1.0737418239999998,58616.018530092595,0.0
121,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B1133+16,15d51m07.2s,11h36m02.208s,6,0.0003495253333333333,58642.03603009259,0.0
122,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,50d50m36.6s,5h42m44.04s,6,0.0003495253333333333,58779.15998842593,0.0
